	CityScale	CityName
	1000	Avon
	1000	Bloomfield
	1	Windsor
	1000	Bristol
	1	Bristol
	100	Burlington
	10	Broad Brook
	100	Canaan
	1000	Canton
	1	Canton Center
	10	Collinsville
	10	East Berlin
	1	East Canaan
	100	East Granby
	1	East Hartland
	100	Ellington
	1	Farmington
	10	Falls Village
	1000	Farmington
	1000	Glastonbury
	100	Granby
	1000	Berlin
	10	Lakeville
	1000	Manchester
	1000	Manchester
	100	Bolton
	1	Manchester
	1	New Britain
	1000	New Britain
	10	New Britain
	1000	New Britain
	100	New Hartford
	1	Norfolk
	1	Pine Meadow
	1000	Plainville
	100	Barkhamsted
	1	Poquonock
	1	Riverton
	1000	Vernon Rockville
	1000	Rocky Hill
	100	Salisbury
	100	Sharon
	1000	Simsbury
	100	Somers
	1	Somersville
	10	South Glastonbury
	1000	South Windsor
	10	Stafford
	100	Stafford Springs
	100	Suffield
	1	Suffield
	1	Tariffville
	1000	Enfield
	1	Enfield
	100	Tolland
	100	Unionville
	1000	East Windsor
	10	Weatogue
	1	West Hartland
	10	West Simsbury
	10	West Suffield
	1000	Windsor
	100	Windsor Locks
	100	Winsted
	1	Hartford
	100	Hartford
	100	Hartford
	1000	Hartford
	1000	West Hartford
	1000	East Hartford
	1000	Wethersfield
	1000	West Hartford
	1000	Newington
	100	Hartford
	1000	Hartford
	100	West Hartford
	1000	East Hartford
	1000	West Hartford
	1000	Hartford
	1	Hartford
	1	West Hartford
	1	Newington
	1	Hartford
	1	West Hartford
	1	East Hartford
	1	Hartford
	1000	Willimantic
	1	Amston
	10	Andover
	100	Brooklyn
	10	Chaplin
	100	Columbia
	100	Coventry
	100	Danielson
	100	Dayville
	1	Eastford
	1	East Killingly
	1	East Woodstock
	1	Grosvenor Dale
	1	Hampton
	100	Hebron
	10	Lebanon
	100	Mansfield Center
	1	Mansfield Depot
	100	North Franklin
	10	North Grosvenordale
	100	North Windham
	1	Pomfret
	10	Pomfret Center
	1000	Putnam
	1	Quinebaug
	1	Scotland
	10	South Windham
	10	South Woodstock
	100	Storrs Mansfield
	1	Storrs Mansfield
	10	Thompson
	10	Ashford
	100	Willington
	1	Windham
	10	Woodstock
	1000	New London
	10	Baltic
	100	Canterbury
	100	East Lyme
	10	Bozrah
	100	Gales Ferry
	10	Ledyard
	1000	Groton
	1	Groton
	1000	Jewett City
	10	Montville
	100	Moosup
	1000	Mystic
	100	Niantic
	10	North Stonington
	1000	Norwich
	100	Preston
	100	Oakdale
	100	Old Lyme
	1	Old Mystic
	1	Oneco
	100	Plainfield
	10	Quaker Hill
	1	South Lyme
	1	Sterling
	100	Stonington
	100	Pawcatuck
	100	Taftville
	1000	Uncasville
	10	Voluntown
	1000	Waterford
	1	Wauregan
	1	Yantic
	1000	Ansonia
	10	Beacon Falls
	1000	Branford
	1	Cheshire
	100	Centerbrook
	1000	Cheshire
	100	Chester
	1000	Clinton
	1	Cobalt
	1000	Colchester
	1000	Cromwell
	100	Deep River
	1000	Derby
	10	Killingworth
	100	Salem
	100	Durham
	10	East Haddam
	100	East Hampton
	100	Essex
	1000	Guilford
	10	Haddam
	1	Hawleyville
	10	Higganum
	10	Ivoryton
	1000	Madison
	1	Marion
	100	Marlborough
	1000	Meriden
	1000	Meriden
	10	Middlefield
	1	Middle Haddam
	1000	Middletown
	1000	Milford
	10	Milford
	1	Milldale
	1000	Monroe
	10	Moodus
	1000	Newtown
	100	North Branford
	100	Northford
	1000	North Haven
	1000	Old Saybrook
	1000	Orange
	100	Oxford
	100	Plantsville
	100	Portland
	1	Rockfall
	10	Sandy Hook
	100	Seymour
	1000	Shelton
	1	South Britain
	1000	Southbury
	1000	Southington
	1	Stevenson
	1000	Wallingford
	1000	Westbrook
	1000	New Haven
	1000	New Haven
	1000	East Haven
	1000	New Haven
	1000	Hamden
	1000	New Haven
	1000	West Haven
	100	Hamden
	1000	Hamden
	100	New Haven
	10	Bethany
	100	Woodbridge
	1	New Haven
	1	New Haven
	1	New Haven
	1	New Haven
	1	Bridgeport
	1	Bridgeport
	1000	Bridgeport
	1000	Bridgeport
	1000	Bridgeport
	100	Bridgeport
	100	Bridgeport
	1000	Bridgeport
	1000	Trumbull
	1	Easton
	1000	Stratford
	1000	Stratford
	1	Waterbury
	1000	Waterbury
	1000	Waterbury
	1000	Waterbury
	1000	Waterbury
	1000	Waterbury
	10	Waterbury
	100	Prospect
	100	Wolcott
	1	Waterbury
	10	Waterbury
	1	Waterbury
	100	Bantam
	10	Bethlehem
	1	Bridgewater
	1	Cornwall
	100	Cornwall Bridge
	1	Gaylordsville
